Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
Jesse Belvin,27,"February 6, 1960","Hope, Arkansas, US",Traffic accident[1],,,,,,,,,,,,,,,
Forest City Joe,33,"April 3, 1960","Horseshoe Lake, Arkansas, US",Hit by a truck,,,,,,,,,,,,,,,
Beverly Kenney,28,"April 13, 1960","New York City, New York, US",Suicide[2],,,,,,,,,,,,,,,
Eddie Cochran,21,"April 17, 1960","Chippenham, Wiltshire, England",Traffic accident[3],,,,,,,,,,,,,,,
Smokey Hogg,46,"May 1, 1960","McKinney, Texas, US",Cancer[4],,,,,,,,,,,,,,,
Eli ObersteinRecord producer and music executive,58,"June 12, 1960","Westport, Connecticut, US",Lymphoma,,,,,,,,,,,,,,,
Johnny Horton,35,"November 5, 1960","Milano, Texas, US",Traffic accident[5],,,,,,,,,,,,,,,
Sticks McGhee,43,"August 15, 1961","The Bronx, New York, US",Lung cancer[6],,,,,,,,,,,,,,,
Stuart SutcliffeThe Beatles,21,"April 10, 1962","Hamburg, West Germany",Cerebral hemorrhage[7],,,,,,,,,,,,,,,
Patsy Cline,30,"March 5, 1963","Camden, Tennessee, US",Plane accident[8],,,,,,,,,,,,,,,
Elmore James,45,"May 24, 1963","Chicago, Illinois, US",Heart attack[9],,,,,,,,,,,,,,,
Daddy Stovepipe,96,"November 1, 1963","Chicago, Illinois, US",Bronchial pneumonia after a gall bladder operation,,,,,,,,,,,,,,,
Dinah Washington,39,"December 14, 1963","Detroit, Michigan, US",Drug overdose[10],,,,,,,,,,,,,,,
Cyril Davies,31,"January 7, 1964","Eel Pie Island, London, England",Endocarditis and leukaemia[11],,,,,,,,,,,,,,,
Rudy Lewis,27,"May 20, 1964","New York City, New York, US",Asphyxiation in his sleep,,,,,,,,,,,,,,,
Meade Lux Lewis,58,"June 7, 1964","Minneapolla, Minnesota, US",Traffic accident,,,,,,,,,,,,,,,
Eric Dolphy,36,"June 29, 1964","Berlin, Germany",Complications from diabetes[12],,,,,,,,,,,,,,,
Johnny Burnette,30,"August 14, 1964","Clear Lake, California, US",Drowning[13],,,,,,,,,,,,,,,
Tiny Topsy,34,"August 16, 1964","Chicago, Illinois, US",Intracerebral hemorrhage,,,,,,,,,,,,,,,
Joe Henderson,27,"October 24, 1964","Nashville, Tennessee, US",Heart attack[14],,,,,,,,,,,,,,,
Buster Pickens,48,"November 24, 1964","Houston, Texas, US",Gunshot[15],,,,,,,,,,,,,,,
Sam Cooke The Soul Stirrers,33,"December 11, 1964","Los Angeles, California, US",Shot by Bertha Franklin[16],,,,,,,,,,,,,,,
Alan Freed,43,"January 20, 1965","Palm Springs, California, US",Uremia and liver cirrhosis[17],,,,,,,,,,,,,,,
Nat King Cole,45,"February 15, 1965","Santa Monica, California, US",Lung cancer[18],,,,,,,,,,,,,,,
Sonny Boy Williamson II,52,"May 25, 1965","Helena, Arkansas, US",Heart attack[19],,,,,,,,,,,,,,,
Bill Black,39,"October 21, 1965","Memphis, Tennessee, US",Brain tumor[20],,,,,,,,,,,,,,,
Jazz Gillum,61,"March 29, 1966","Chicago. Illinois, US",Gunshot[21],,,,,,,,,,,,,,,
Richard Fariña,29,"April 30, 1966","Carmel Valley, California, US",Motorcycle accident[22],,,,,,,,,,,,,,,
Bobby FullerThe Bobby Fuller Four,23,"July 18, 1966","Los Angeles, California, US",Suicide (suspicious)[23],,,,,,,,,,,,,,,
Peg Leg Howell,78,"August 11, 1966","Atlanta, Georgia, US",Complications from diabetes,,,,,,,,,,,,,,,
"Dave LambertLambert, Hendricks & Ross",49,"October 3, 1966","Connecticut Turnpike, Connecticut, US",Struck by vehicle[24],,,,,,,,,,,,,,,
Johnny Kidd,30,"October 7, 1966","Bury, Lancashire, England",Traffic accident[25],,,,,,,,,,,,,,,
Smiley Lewis,53,"October 7, 1966","New Orleans, Louisiana, US",Stomach cancer[26],,,,,,,,,,,,,,,
Mississippi John Hurt,74,"November 2, 1966","Grenada, Mississippi, US",Heart attack[27],,,,,,,,,,,,,,,
Moon Mullican,57,"January 1, 1967","Beaumont, Texas, US",Heart attack[28],,,,,,,,,,,,,,,
Joe Meek,37,"February 3, 1967","London, England",Suicide by gunshot[29],,,,,,,,,,,,,,,
Fats Pichon,60,"February 25, 1967","Chicago, Illinois, US",[30],,,,,,,,,,,,,,,
Elmo Hope,43,"May 19, 1967","New York City, New York, US",Heart failure,,,,,,,,,,,,,,,
Brian Epstein,32,"August 27, 1967","London, England",Accidental overdose[31],,,,,,,,,,,,,,,
Rex Stewart,60,"September 7, 1967",US,,,,,,,,,,,,,,,,
Woody Guthrie,55,"October 3, 1967","New York City, New York, US",Huntington's disease[32],,,,,,,,,,,,,,,
Peter Bocage,80,"December 3, 1967","New Orleans, Louisiana, US",,,,,,,,,,,,,,,,
Otis Redding,26,"December 10, 1967","Madison, Wisconsin, US",Plane accident[33],,,,,,,,,,,,,,,
Ronnie CaldwellPhalon Jones The Bar-Kays,Various(18-19),"December 10, 1967","Madison, Wisconsin, US",Plane accident[33],,,,,,,,,,,,,,,
Robin Roberts The Wailers,27,"December 22, 1967","San Mateo County, California, US",Traffic accident[34],,,,,,,,,,,,,,,
Bert Berns,38,"December 30, 1967","New York City, New York, US",Heart failure,,,,,,,,,,,,,,,
Little Walter,37,"February 15, 1968","Chicago, Illinois, US",Coronary thrombosis due to injuries sustained while fighting[35],,,,,,,,,,,,,,,
Frankie Lymon Frankie Lymon and the Teenagers,25,"February 27, 1968","New York City, New York, US",Drug overdose[36],,,,,,,,,,,,,,,
Syd Nathan,63,"March 5, 1968","Miami Beach, Florida, US",Pneumonia[37],,,,,,,,,,,,,,,
Bumps Myers,55,"April 9, 1968","Los Angeles California, US",Several health problems</ref>,,,,,,,,,,,,,,,
Lester MelroseRecord producer,76,"April 12, 1968","Lake, Florida, US",[38],,,,,,,,,,,,,,,
Little Willie John,30,"May 26, 1968","Walla Walla, Washington, US",Heart attack,,,,,,,,,,,,,,,
Bumble Bee Slim,63,"June 8, 1968","Los Angeles, California, US",,,,,,,,,,,,,,,,
Wes Montgomery,45,"June 15, 1968","Indianapolis, Indiana, US",Heart attack,,,,,,,,,,,,,,,
Luther Perkins,40,"August 5, 1968","Nashville, Tennessee, US",Smoke inhalation[39],,,,,,,,,,,,,,,
Joe Hinton,38,"August 13, 1968","Boston, Massachusetts, US",Skin cancer[40],,,,,,,,,,,,,,,
Red Foley,58,"September 19, 1968","Fort Wayne, Indiana, US",Respiratory failure,,,,,,,,,,,,,,,
Kokomo Arnold,67-72,"November 8, 1968","Chicago, Illinois, US",Heart attack,,,,,,,,,,,,,,,
Dickie Pride,27,"March 26, 1969","London, England",Drug overdose[41],,,,,,,,,,,,,,,
Benny Benjamin The Funk Brothers,43,"April 20, 1969","New York City, New York, US",Stroke[42],,,,,,,,,,,,,,,
Don Drummond,37,"May 6, 1969","Kingston, Jamaica",Suicide[43],,,,,,,,,,,,,,,
Martin Lamble Fairport Convention,19,"May 12, 1969","Scratchwood Services, M1 Motorway, England",Traffic accident[44],,,,,,,,,,,,,,,
Shorty Long,29,"June 29, 1969","Detroit, Michigan, US",Drowning[45],,,,,,,,,,,,,,,
Brian Jones The Rolling Stones,27,"July 3, 1969","Hartfield, East Sussex, England",Drowning in swimming pool[46],,,,,,,,,,,,,,,
Wynonie Harris,53,"July 4, 1969","Los Angeles, California, US",Esophageal cancer,,,,,,,,,,,,,,,
Roy Hamilton,40,"July 20, 1969","New Rochelle, New York, US",Stroke[47],,,,,,,,,,,,,,,
Skip James,67,"October 3, 1969","Philadelphia, Pennsylvania, US",[48],,,,,,,,,,,,,,,
"Leonard ChessRecord producer, record company executive and co-founder of Chess Records",52,"October 16, 1969","Chicago, Illinois, US",Cardiac arrest[49],,,,,,,,,,,,,,,
Tommy Edwards,47,"October 22, 1969","Richmond, Virginia, US",Brain aneurysm[50],,,,,,,,,,,,,,,
Pops Foster,77,"October 29, 1969",US,[51],,,,,,,,,,,,,,,
Magic Sam,32,"December 1, 1969","Chicago, Illinois, US",Heart attack[52],,,,,,,,,,,,,,,
"James ""Stump"" Johnson",67,"December 5, 1969","St. Louis, Missouri, US",[53],,,,,,,,,,,,,,,
